OKPOCode;name
30609328;СД ТзОВ `МПФК`;
30702104;ЗАО `Альтера-Финанс`;
30793296;"ВАТ""Малинський досл.есп.лив.-мех. з-д""";
30801338;ТОВ Ювента;
30962188;"ЗАО ""АУП САРЕПТА-МЕДИПЛАСТ""";
30970754;"ДП ""М.С.І.""";
31025470;"ТОВ ""ЦЕНТР ЛАЗЕРНОЄ ЕСТЕТИКИ""";
31158639;"ООО ""EUTIT-UA""";
31279430;"ТОВ НВП ""ES ПОЛІМЕР""";
31366800;ООО ЗАЩИТА ДЫХАНИЯ;
31375312;ОРИГIНАЛТОВ;
31497762;"ППНТЦ""СИНТЕЗ-ІНЖИНІРИНГ""";
31499424;"ТОВ  ""Прогрес Інвест""";
31751545;"ТОВ ""АКВАМАРИН""";
31798405;"ТОВ Виробниче об`єднання ""СВАН""";
32020515;"ТОВ ""УНІВЕРСАЛ СЕРВІС С.В.""";
32086890;"ЧП ""НАШЕ ДЕЛО""";
32154621;"ТОВ ""ОЛЕКСА""";
32207426;`ГЕНЕРАЛЬНИЙ СТРАХОВИЙ ФОНД`ЗАТ;
32311380;"ТЗОВ ""КРИВБАС БЕТОН""";
32332395;"ТзОВ СП""ЕВРОЛАКТ""";
32541864;"ООО""Крым Медиа Групп""";
32616033;"ТОВ ""ТОРГОВИЙ ДIМ""НК АЛЬЯНС-КIРОВОГРАД";
32725186;"ТОВ ""ДІАЛЕС""";
32749537;"ООО""Укр.Медиа Группа""";
32777915;ЕКОНОВА НАУКОВО-ВИРОБНИЧЕ, ТОВ;
00178695;"ОАО ""Луг.энергозавод""";
00191329;СУХАЯ БАЛКА оао;
00191543;ЗАВОД КОКСОХИМОБОРУДОВАНИЯ,ОАО;
00240052;ЗАО БЕТОНМАШ;
00374806;Лохвицький спиртовий комбинат;
00376509;ВАТ ОДЕСЬКИЙ ОЖ КОМБИНАТ;
00444808;Беловодский маслодельный завод;
00931750;КОМСОМОЛЕЦ ЗАВОД  ВАТ;
00954544;ВАТ СКВИРСЬКИЙ КХП;
01069554;"Господарська служба ДТГО ""ПЗЗ""";
02214082;КИЕВСК.ДЕРЖ.ХУД.-ВИРОБ.КОМБІНАТ;
03972778;Конотопське УВП УТОГ;
04790594;"ЗАТ КИЇВСЬКИЙ ГОТЕЛЬ ""МИР""";
05395598;"ВАТ ""ХМЕЛЬНИЦЬКГАЗ""";
05409685;ВАТ МЗМФО;
05448389;"АКЦ.ОБ-ВО""МАРГАН.РУДОРЕМ.ЗА";
05769219;"ВАТ ""ЕТЗ""";
13528872;АРХИТЕКТУРНОЕ АТЕЛЬЕ ТВ;
13616406;ТЕХHОПОЛIС,ПВКП;
13620827;"ТПТНК ""Керамiст""";
13730444;"МНВФ ""ГАММА""";
13812165;"ТОВ ""АРІАДНА""";
13907635;"ФIРМА ""ТРИО"" ПП";
14004289;СУМ НАУК-ТЕХН ЦЕНТР;
14309215;"КОНЦЕРН ""ВЕСНА"",АТВТ";
14313866;КП `НВК `Iскра`;
20028360;"Фірма""М.І.К.SCHORR CmbH""";
20066283;"АО ""АДВОКАТСЬКА КОМПАНІЯ ""КАЙРОС""";
20080515;"ЗАТ""Страхова компанія ""Еталон""";
20091016;"ТОВ ""Синтез """;
20609973;"ТОВ ВФ ""САНРАЙС""";
21078360;"ТОВ ""ФАРМАПОЛ""";
21588473;"ЗАТ ""АВС-СЕРВІС""";
21782691;"ООО""Сагиттариус""";
22394666;МАКСИМ, ТОВ;
22726625;Кр/з-ть за прийнятi платежi;
22863747;УНПЦЕХ;
22865605;ТОВ`АВТО ТРЕЙД КОМПАНІ`;
23451863;Приватна фірма .Квіт;
23495961;"АТЗТ ""Луч АО""";
23560533;НВ ТОВ ЛЕЙКОПОЛ;
23610497;ЕВРОПРОДУКТ ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕ;
23729293;ЗАОТ КРЕОМА-ФАРМ;
23786718;"ТОВ ""ЕТАЛОН""";
23859995;"ООО ""ТРИУМФ""";
23972125;СИВУЛЯ, ПП;
23985228;ЗАО СПЕЦМЕТАЛЛПРОМ;
24087690;ЗАТ ДОСЛІДНИЙ ЗАВОД ХАРЧОВОГО ОБЛАДНАН;
24377962;"НТЦ ""Композиційні матеріали""";
24488518;"ООО""Лот"" (доп.)";
24580031;"ПП Ф-МА ""ФЕТИШ""";
24857596;"Ф-Я""ПЕРШОГО УКР.МІЖНАР.БАНКУ"" ЛУГАНСЬК";
25418261;"ТОВ ""АВЕРС-ТОРГ""";
25771483;ПЛАТЕЖІ НАСЕЛЕННЯ ТОБО 1;
25981016;"Філ.""Укр.центр іннов.та патент.-інф.по";
26442922;"ОСП ""ЭНЕРГОПРОМ""";
30226021;"ООО""Аромат""";
30262947;"ТОВ ""ФЛАГМАН""";
30453389;"ВАТ ""ВIННИЦЬКА ХАРЧОСМАКОВА ФАБРИКА""";
30463879;"ЧП ""Завод прод товаров""Каре""";
30468730;`НВК`ПП;
30553129;АРКУШ,ТОВ,ВИДАВ;
30782001;"ТОВ ""Райфер""";
30783356;ТОВ ЕМОHА;
30824795;МПП РИФ;
30895028;"ТзОВ "" Iнтербур ЛТД """;
31097791;"Агенствотелемовленняа""Володимир""МБ";
31122120;"ТОВ""Видавничий будинок ""Кераміст""";
31151000;ТОВ ВIЗУАЛ БЮРО;
31182939;КОНТИНЕНТ .  ООО;
31367762;УКРГАЗПРОМ, ПРЕДПРИЯТИЕ;
31383449;ТОРГОВЕЛЬНА МЕРЕЖА ДНіПРО,ЗАТ;
31520775;ТОВ `Видавничий дім `БАРДО`;
31522730;`МЕБЕЛЮКС`ТОВ;
31602192;"ТОВ""Телерадiокомпанiя"" СМАРТ"" м.Вiнниц";
31662136;"ТОВ ЦIТ ""Укрiнфо""";
31709011;РЕГИОН ПЛЮС,ЧП;
32073090;ТОВ `Д.I.А. Девелопмент`;
32147958;"ТОВ ""Телеpадiокомпанiя ""Вiктоpiя""";
32214657;ТОВ` ФІШКА`;
32253256;СВIТ КЛIМАТУ, ТОВ;
32303406;"ТОВ ""Юридичні гарантії""";
32314894;"ТОВ ""ДЖЕРЕЛО-УКРАЄНА""";
32340977;НВIК ЗIРКА,ТОВ;
32383041;ТОРГОВЫЙ ДОМ ВОДНА ТЕХНИКА ТОВ;
32480414;"ТОВ ""Хлібна нива""";
32490003;`ЕКЗОТIК ФУДС`ТОВ;
32495572;"ТОВ ""VIP-PACK ПЛЮС""";
32516288;"ТОВ ""НТЦ ""ГЕОіНДУСТРіЯ""";
32595202;ПП Фiрма ПРЕСТОЕКСПО;
32621656;БIЗНЕС IНТЕЛIДЖЕНС 4 ЮКРЕЙН,ДП;
32622382;"ТОВ ""Стр?м-Арт""";
32695644;"ТОВ ""Радом?р""";
00165698;КРАСНАЯ ГВАРДИЯ, ОМЗ ОАО;
00180634;ВАТ ДХК ДОНБАСШАХТОБУД;
00190816;"ВАТ ""Алчевський коксохiмiчний завод""";
00310120;"ЗАТ  ""Елiта""";
00310441;"ТОВ ""Тернопiльфарфор""";
00374781;"ДП ""Воютицький спиртовий завод""";
00377029;Н.САНЖ.ЗАВОД ПРОДТОВ.ВОРСКЛА,ЗАТ;
00383295;ЗАО НАДЕЖДА;
00497265;"ННСГЦазавiв.Iнст.твар.степ.р.""Аск.-Н.""";
01131508;"ОАО ""ОДЕССКИЕ АВИАЛИНИИ""";
01373890;"ОАО ""Судостроительный завод""Лиман""";
02125102;Волинський державний унiверситет;
04665274;"ВАТ КБ""БЕРДЯНСЬКС1ЛЬМАШ""";
04799336;"ВАТ ""СЕЛМі""";
05424785;ЛУЦКИЙ МЕБЛ.КОМБIНАТ, ВАТ;
05496135;ННЦ  ІМЕСГ;
13423340;ШЕРИФ ЧП;
13480496;КП СТИКИС;
13487156;ООО ФИРМА ВОТАЛИ ЛТД;
13539835;АМИ АГЕНТСТВО МАРКЕТ.ИССЛ.,ООО НПП;
13614672;ЗАТ`РГ`Индустриальное Запорожье`;
13889972;ИНТЕРМАРИН,МП  ООО;
14062625;ФИРМА САБО ЛТД МКП В ФОРМЕ ООО;
14187396;"ЗАТ ""Рось""";
14312602;ВАТ ХДКТБ ХМ;
14339653;"СП ""Писанка""";
19497233;"ТОВ Фipма""Восток-Електpонiка""";
20318141;ООО КАСКАД;
20471017;НТЦ ПАС НАН Украєни;
20574128;"ТОВ ""ЗТМ АРIАН""";
20780508;"ТзОВ ""ЗiКО""";
20835669;"ВАТ""Троттола""";
20942810;Агенство Вiддiл N3;
21058759;`Логалін ЛТД` ТОВ;
21671715;"ООО ИВЦ ""АВТОФОТОПРОДАЖ""";
21675831;"ДП ""Піккард енд Ко""";
21691505;`МЕТАЛПЛАСТ-УКРА.НА`ДП;
21705495;"ВГО""ВУА вироб.водочис.тех.та пит.води""";
21976225;"ООО ""СТИМУЛ""";
22638602;HВФ .Технологія.;
22643649;"ФЗАТ""ПЕРШИЙ УКР.МІЖH.БАHК"",В М.ХАРКОВІ";
22646085;ЗАО ПАТЕНТНО-ИННОВАЦИОННЫЙ ЦЕНТР;
22883891;ВАТ УкрІЗВ;
22925804;"ЧП""КУПАВА""";
23243248;КАПБ;
23344104;ДОНБАССКАЯ ЭС;
23623471;Мик.держ.гуман.унiверс.iм.П.Могили;
23761693;ОАО ТК Фаворит;
23884533;"ТзОВ ""Захiдпроектiнжбудсервiс""";
24276652;"ТОВ ""МАРКА ПЛЮС""";
24382101;"КОРПОРАЦIЯ ""СПIВДРУЖНIСТЬ""";
24513081;"ТОВ ""ФІРМА СТЕЛСІ""";
24588707;ПІДПРИЄМСТВО НБС КО;
24927871;КРЕДИТ.ЗАБОРГ.ЗА ПРИЙНЯТ.ПЛАТЕЖ.;
25096030;Втормет АОЗТ;
25096567;Ф-Я ПЕРШ.УКР.МІЖН.БАНКУ В М.МАРІУПОЛІ;
25470089;"ТОВ ""СВ""";
25538887;ФСВ ТОВ;
25567860;"Сквирська фiлiя ТОВ фiрми ""Грона""";
26112297;"ПР-ВО""ТЧIБО ВАРШАВА СП З ОО"",ПОЛ";
26203887;"Харківська філія ЗАТ ""Альфа-Банк""";
30200705;"ПП ""КОНВЕСТ""";
30294971;ТОВ СУТП `Торговий Дiм `Ел-;
30306393;"ТОВ ""Експрес Мото Україна""";
30357345;"ПФ ""Лаліта""";
30413456;ЧЕРКАСИРИБА-1, ТОВ;
30465567;ДОНТЕХКОМПЛЕКТ, ООО;
30469713;ТОВ РЕКТАЙМ;
30562924;ФIРМА СОЮЗ-ПРЕС ТОВ;
30678061;СТРАЖ;
30679201;ТОВ МАК-2;
30735475;"ЗАО ""Ремэкскаватормаш""";
30777096;"ТОВ ""КУТТЕР-ІНСТРУМЕНТ""";
31029412;"ЗАТ""Страхова компания Блакитний полi";
31301408;Укрвата ООО;
31334695;`ВIКНОКОМ` ТОВ;
31353200;"ТДВ Страхова компанiя ""Планета Земля""";
31414073;"ТД ""УКРТАРА-ПАПІР"", ТОВ";
31452632;"ТОВ ""ПОВЕРХНОСТЬ-СПУТ.КОМУНІКАЦ""";
31571458;"ТОВ НВП""БІОФАРМА""";
31762080;"ООО ""МАГАЗИН ПУТЕШЕСТВИЙ ""МЕРСИ""";
31891583;ТОВ ''ДІАМАНТ І К'';
31906517;"Гостиница Донбасс Палас""";
32060013;"ТОВ""Телерадіокомпанія""ТБ-Захід""";
32147366;"ТОВ ""Бiокор""";
32193145;НМЦ КСМ,ЗАО;
32301524;"ТОВ""МакВент""";
32346937;"ТОВ ""Ромстал Україна""";
32403130;"ПП ""Одеський птахокомб1нат""";
32520839;"ЧП ""ИА ""Паритет-информ""";
32588022;АРЕНА СПОРТ;
32676993;ТОВ `Схiдна нафтова компанiя`;
00203619;ПЛАСТМАС-ПРИЛУКИ,ват;
00204429;"ВАТ ПОБУТОВОЄ ХIМIЄ ""ЗОРЯ""";
00307632;"АТЗТ ВТФ ""ГЛОРІЯ""";
00309708;ВОРСКЛА,ЗАТ ПОЛТ.ФIРМА ВИР.ОДЯГУ IМ;
00333569;"ЗАТ ""МАРГ-ВЕСТ""";
00849304;"АТ ""Київська овочева фабрик";
01558767;"ЗАО ""МАРКОМПРОД""";
02766976;ЛИСЯНСЬКЕ ВІД. ОБ N 2971 ЧЕРКАСЬКОЇ;
02941528;ЗАТ ХШТ Динамо;
03592395;ЗМОК   ТОВ;
09326016;00846_КРЕДИТ ЗАБОРГОВАН ЗА ДОБРОВ ВНЕС;
09806443;"АБ ""Муніципальний""";
13345568;КАСКАД-ПРОДАКШН ,ТЗОВ;
13708249;"ТОВ ""Iсток""";
14361055;МІЖНАР. ВИРОБН.-СПОРТ.КОРПОРАЦ.ІНФОСПО;
19182647;АЛЕН, ООО;
19206359;"ЦЭТ ""ГИДРОТОПЛИВО"" ООО";
19256073;"ТОВ СП ""ЕЛАНДА АСТРА""";
19355562;КОМУНАЛЬНІ ПЛАТЕЖІ ТА ПЕРЕКАЗИ;
20042762;"МИКОЛАЇВСЬКА Ф-Я ВАТ""КБ""ПРИЧОРНОМОР'Я""";
20435728;"ТОВ ""КВАДРО""";
20473539;"ТОВ""ТРIАДА ЛТД КО""";
20505104;"ПВКФ ""Меркурiй""";
20587183;ДОЧ.ПР-Е НАГЕЛЬ-ФЕНСТЕР;
20935945;"МПП ""ПІВДЕННИЙ ТОРГОВИЙ ЦЕНТР""";
21479389;ООО НВФ КИНЕК ЛТД;
21692893;"ФІЛІЯ АБ ""ПІВДЕННИЙ"" У М.КИЄВІ";
22602679;"ТзОВ УКСП""Астра-Група""";
22607719;"ВАТ ТРЗ ""ОРIОН""";
23317900;Колект.учбово-виробн.підприєм.Пластік.;
23495524;"СП""РАЯH""";
24024784;Транз.ОП в банке;
24272981;ТОВ ПКП .ВОСТОК-Н.;
24417408;"ПП ""Оптовий торговий дім""";
24428493;ЧП ДЕЛИ ЧП;
24482251;ПФ `ГАММА-55`;
24905013;Филиал Укрэксимбанка в г.Запорожье;
25104969;ТОВ =РОБИНЗОН=;
25185360;ЗАО НДІРВ ДП АТ;
25293049;`ЕНЕРГОМОНТАЖВЕНТИЛЯЦIЯ` ЗАТ;
25413803;ПРЕМ'ЄРМЕДФОНДБЛАГ.ФОНД ОХОР.ЗДОРОВ.;
25594168;"ЗАТ ""Домобудівельний комбінат №1""";
25636704;"ЗАТ ""УКР.НВЦ ПРОБЛЕМ ДЕЗIНФЕКЦI#""";
26289469;Кредит.заборг.;
26315572;"КИЇВСЬКА ФІЛІЯ АБ ""ПРИВАТІНВЕСТ""";
30107321;"ПФ ""Західно-українська фінансова комп""";
30397026;"ЗАТ НВП ""Ефір-проект""";
30493877;Лiк ТОВ;
30548674;ТОРГОВЫЙ ДОМ СПУТНИК ООО;
30558148;АПТЕКА-2000 ООО;
30619404;Джекпот ТОВ з ІІ;
30957398;ТОВ СОБР;
30973802;"ТОВ""Електромек Україна""";
31066082;"ТОВ ""НПК""";
31154917;"ТОВ НВП ""СТАНДАРТ-1""";
31172171;"Приватне підприємство ""ІНВЕСТОЛЛ""";
31244785;"ТОВ ""АГРО-ФОРУМ""";
31360882;"ТОВ ""МІСТО СЛАВИ""";
31493972;КОНТО, ТОВ;
31518085;"ТОВ ""Торговий дiм ""Будiвельнi системи""";
31676495;"ЧП ""Исполин-сервис""";
31688217;"ДП ""ТОРГІВЕЛЬНИЙ БУДИНОК ""ФМС""";
31943978;"ТОВ НВФ ""КНТех""";
32045000;"ПIДПРИЕМСТВО ""ПРИЗМА""";
32056337;"ТОВ""СЛАДОКРАЙ""";
32150583;РЕКЛ-ВЫСТАВ.КОМПАН.ДОМИНАНТА,ООО;
32162949;"КОНЦЕРН ""ВИДАВНИЧИЙ ДІМ ""ІН ЮРЕ""";
32297623;ЗОЛОТОЙ ВЕК,ПП;
32311019;"ДП ""Куренi""";
32377656;ПКФ-УКРАГРОПРОМКАЛIЙ ТОВ [2600014143;
32379889;"ТОВ""НАЦ1ОНАЛЬНА АГЕНЦ1Я ""ФМ МЕД1А ГР";
32407947;ПРОФХОЛОД,ТОВ;
32429520;"ТОВ ""Коньячний двiр""";
32492131;ТІС;
32616583;"ЗАО ""Завод электро-газового оборуд.""";
32621923;ТОВ Рубіжанський паркет;
32664307;"ДП  ""Брілюкс.УА""";
32669457;"ТОВ ""ПЮК ""ТМ i Партнери""";
32745705;"Приватне підприемство ""Ротерм""";
00131328;"ВАТ ""Київенергоремонт""";
00152394;"ВАТ ""Львiв.дослiд.нафтомаслозавод""";
00210890;ОАО `СТАХ.ВАГОНОСТРОИТ.З-Д`;
00211174;Криворiзький завод гiрничого машинобуд;
00294020;ЛАДИЖИНСЬКИЙ ЗАВОД СИЛіКАТНОі ЦЕГЛИ;
00374048;"ЗАТ""ДН-КИЙ КОМБ.ХАРЧОВИХ КОНЦЕНТРАТIВ""";
00379749;БАН ЗАТ;
00381835;КОНДИТЕРСКАЯ Ф-КА А.В.К.Г.ДОНЕЦК АО;
00382355;"ВАТ ""Львівська макаронна фабрика""";
00740599;ВАТ Львівський ЛРЗ;
01992819;ЦМКЛ м.Ужгорода;
02012148;IН-ТаНЕВР,ПСИХ.ТАаНАРК.АМНУ;
02071151;ХАРК.ДЕРЖ.АКАД.МIСЬКОГО ГОСПОДАРСТВА;
02074161;ТОВ СП СІГМА-КИЇВ;
02573533;"ВАТ ""ГОТЕЛЬНИЙ КОМПЛЕКС ""ЛИБІДЬ""";
02758801;ОСБ 7897;
03327664;"ВАТ  АК ""Київвводоканал""";
03374764;ОАО `Крыжопольский сах. завод`;
03449232;"ЖФ ""ЖИТОМИРДІПРОДОР""";
05432307;"ВАТ ""ДОНЕЦЬКШАХТОБУД"" ДП ДХК ""ДОНБАСША";
05502479;ВАТ `ВТФ`Селена`;
14109344;АСП ЛИЯ;
14246928;"ППІГП ""ГЕОІД""";
14281103;УКР.АКАДЕМIЯ НАУК НАЦ.ПРОГРЕСУ,ГО;
14313725;ВАТ СМIЛЯНСЬКИЙ МАШЗАВОД;
14358604;"АКБ ""IНТЕРБАНК"" м.Київ";
14358969;Корпорація Укрреставрація;
20057290;"ТОВ СП ""ГРАНТЕХ""";
20233893;ЭТНА ООО;
20583162;"ТОВ КОНДИТЕРСЬКА ФАБРИКА""ЛАГОДА""";
20948907;"СП ЗАТ""АНТАРКТИКА-ТУРИСТ""""ОК""ВІКТОРІЯ""";
21321872;ХДСГДСам.Старокостянтинiв;
21559964;ІНПРОЕКТ ТОВ;
21631578;"ТОВ НВП ""Унісон""";
21938472;"ПП ""РЕКОРД""";
23104877;"СП ЗАТ ""КМТ""";
23267326;РОМ ФIЛ, ПП;
23463151;"АТ ""АЛЬПСЕРВIС""";
23500426;"ТОВ ""НВП ГАММАГРАФІК""";
23528844;ТОВ`ОВІДІЙ`;
23761718;000 Злата;
23921234;"ПП ""Микко-Сервис"" ООО";
24940541;"ПII ""Українська Національна Лотерея""";
25073980;"ФІЛІЯ АБ ""ЕНЕРГОБАНК"" В М.ЧЕРНІВЦІ";
25400509;АЛЛЕН;
25469235;ТОВ Ф1РМА ПРЕСТИЖСНАБ;
25487210;"ХРП ""АвтоЗАЗ-Мотор"" ЗАТ ""ЗАЗ""";
25517922;ЭДЕМ ЗАО;
25834947;"ФІЛІЯ ""ПРЕСАГРЕГАТ""";
26459670;"ДФ ТОВ ""УКРПРОМБАНК""";
26475516;"ТОВ ""Комерційний банк ""Даніель""";
30175983;"ДП ""М""ЯСО БУКОВИHИ"" ВАТ ""HОВОС.ПТАХ-Т""";
30291064;"ООО ФИРМА ""КАРТЕЛЬ""";
30425524;ЭМАЛЬ ЧППФ;
30895845;КОМПАНИЯ ТЕХИНВЕСТ ООО;
30939178;ДОНЕЦКСТАЛЬ-МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД ЗАО;
31068912;"НПФ ""АГРОМЕТ"" в виде ООО";
31338910;ООО Ариол;
31815226;`ДЕЛЬТА СЕРВIС`ТОВ;
31827509;НЕФТЕСЕРВИС ДП ЗАТ СОДРУЖЕСТВО;
31851793;"ТОВ ""Арiя Вин""";
31906166;ООО ИНТЕРФУД;
31993086;"ТОВ ""Оболонь -3""";
32016577;ТРК УНIСОН ПЛЮС,тов;
32137384;"ТОВ КТБ.""ФОТОН""";
32281587;ЗАТ ФГ `СТРАХОВI ТРАДИЦIЄ`;
32367281;"ООО ""Инкерманский завод марочных вин""";
32380281;"ТОВ "" Русь ?нтернешнл """;
32490024;"ПП ""МЕГА-М""";
32552682;АГРО АПТЕКА ТОВ;
32557099;ДП `ІМС`;
32567201;"ООО ""АРГУС-ИНФОРМ""";
32589801;"ТОВ ""УКРАЄН. КОНСАЛТИН.ТА МЕДIА ГРУПА""";
32760435;"ТОВ""ІНТЕРСТАР УКРАЇНА""";
32856609;"ТОВ ""Агенція подорожей ТурПРОФІ""";
32914838;"ПП""АЛЬ ПАРI""";
32931550;"КОНЦЕРН ""САРЕПТА""";
00130725;ТЕРНОПІЛЬОБЛЕНЕРГО, ВАТ;
00192494;"ВАТ ""ВТП ""Укренергочормет""";
00371512;"ВАТ ""СВАЛЯВСЬКI МIНЕРАЛЬНI ВОДИ""";
00374812;ВИШНЯКIВСЬКИЙ СПИРТЗАВОД;
00382119;ВАТ ЗАВОД МОЛОЧНОЇ КИСЛОТИ;
00953208;ВАТ ВІН КОМБІНАТ ХЛІБОПРОДУКТІВ N 2;
01270351;"АТ ""Житлобуд-2""";
02070803;ДОНЕЦЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ;
02071033;ОДЕС.ДЕРЖ.АКАД.БУД.IаАРХ.;
02071211;ХАРК.ДЕРЖ.ЕКОН.УНIВЕРСИТЕТ;
02568176;ЦЕНТР СТАНДАРТИЗАЦІЇ І МЕТРОЛОГІЇ пото;
02827258;Iншi готiвковi платежi;
02969432;"АТ ЗАВОД ""МЕТАЛОПРИЛАД""";
03079829;I-Т БДЖIЛЬНИЦТВА IМ.П.I.ПРОКОПОВИЧА;
03328988;"АОЗТППП""ДОНБАССРЕКОНСТРУКЦИЯ""";
03361075;"ОАО ""ДОНЕЦКОБЛГАЗ""";
05750289;"ВАТ ""Лозівський ковальсько-мех. завод""";
09334317;кред заборг за прин платеж;
09337391;Кред.заб.за прийн.комун.пл.в Т;
13550765;"АТЗТ""АСК ""АСКО-Медсервіс""";
13675648;"Державне підприємство"" ДНДЦ ""Фонон""";
13776251;ЛИНГВИСТ,ШКОЛА ИНОСТР.ЯЗЫКОВ, ЧП [2600;
13812432;"ТзОВ Фірма""ТТТ""";
13815264;"ДП ""Аргентум""";
14092135;Держ.НВП Метенегромаш;
14094737;"АТ завод  ""Електротерм""";
14166738;КТ ЗАБОРГ.ЗА ПРИЙНЯТІ ПЛАТЕЖІ;
14245308;Кр.заб.за пр.пл.- платежi вiд фiзичних;
14312973;"ВАТ ""МЕРИДІАН"" ІМ .С.П.КОРОЛЬОВА";
19155069;ПОЛИПРОМ ООО НПП;
19355289;ТОВ СПЕЦТЕХНОЛОГІЯ;
19361982;"КБ ""НОВИЙ"" М.ДНIПРОПЕТРОВСЬК";
20079162;"АО""Адвокатська фірма""Юридичні гарантії";
20488378;ТЕЛЕРАДIОКОМПАНIЯ МТВ-ПЛЮС, ТОВ;
20955698;"ООО ФИРМА ""ОНИСС""";
21492026;"ТОВ ""ЮТА ЛТД""";
21626927;АМАРКОРД;
21652215;ПОВЕРХНОСТЬ,ДП;
21716524;"ФІЛІЯ ВАТ ""МТБ"" У М.КИЇВІ";
22104007;ПЛАТЕЖИ ПРИНЯТЫЕ У НАСЕЛЕНИЯ;
22624304;АТВТ З ІНОЗЕМ ІНВЕСТИЦ НПК ХОЛДІНГ;
22718867;"ЗАТ ""ОРЛАН-БЕВЕРІДЖИЗ""";
22950400;"ДП ""Поверхність ТВ""";
23027177;"ООО ""ЗАВОД ПРОММАШ""";
23494128;IН-ТаМАГНЕТИЗМУаНАНУаIаМIНОСВIТИаУКРАЄ;
23898624;ФЕРМ.ГОСПОДАРСТВО СТЕП;
23979469;ООО ГОРОДСКОЕ СТРОИТЕЛЬСТВО;
24011474;Кред зад по плат от физлиц ТВБВ N 3;
24090083;"ТОВ""IНТЕЛЕКТ-ПРАЦЯ-СЕРВIС""";
24093590;"ТОВ ""ДЕСЯТКА""";
24249572;ПІІ Анкл Сем;
24486220;"НВ ТОВ ""КЛIМАТЕХ УКРАєНА""";
24588630;УКРЮРСЕРВІС ПП;
24781924;ТОВ ВОЗНЕСЕНСЬКА ПPОДОВОЛЬЧА КОМПАНіЯ;
25267448;"ТОВ ""Кодак Україна""";
25456824;"ПРИВАТНЕ ПІДПРИЄМСТВО ""ІРИНА""";
26138693;"КРИВОРІЗЬКА ФІЛІЯ АКБ ""ФОРУМ""";
30255047;"ООО ""ДИНАМО-ЛЮКС""";
30315425;"ПП ФІРМА ""АВАЛЬ-ЕКСПЕРТИЗА""";
30431999;МОНПЕЛЬЄ ТОВ;
30461651;Радiостар,ТзОВ;
30551671;"ПІІ""Хопленд Ентерпрайзес Лімітед""";
30563740;КРУПЕЦЬ , СВК А;
30676551;"ПП ""ДС ПАТЕНТ""";
30767795;"ТОВАФ ""Пiсчанська""";
30784339;"ТОВ ""Електpодизайн""";
30863111;ВАШЕ ТАКСИ, ООО;
31003075;"Дослідне ПП ""Екватек""";
31059520;"ЗАО ""ПРОМХОЛОД""";
31065644;"ДП""Наук.тех.уч.центр"" УНТЕА Аселенерго";
31088237;"ТОВ ""КБ Орловський""";
31090382;"ТОВ ""Інфор-Метал""";
31204297;"Приватне підприємство ""Капітал ПР""";
31297109;"ООО""ЭКОЛЛА""";
31316854;НАУК-ВИРОБН.ЦЕНТР ТЕХНОЛОГ. БУРIННЯ;
31364232;АСТРАФАРМ;
31390215;Европродукт ДП СТОВ Таврийская перспек;
31759277;`НПФ`ПИРОЛ` ООО;
31950278;"ДП""ЕНЕРГО-ЕКСПОРТ"" ТОВ""ЕНЕРГО-ЕКСПОРТ""";
32073415;Українська Асоціація металоторговців;
32288268;"ТОВ ""ПЕРША РІЄЛТОРСЬКА КОМПАНІЯ""";
32337241;"ТОВ ""Фонд сприяння розвитку засобів ма";
32374539;"IНТЕРГЛАСТ ДП ФIРМИ ""ГЛАСТ ГМБХ""";
32382399;ПП `ЗЛАТА`;
32388008;"ТОВ ""ЗООПРОДУКТ""";
32528873;"ООО ""ПАТЕНТНО-ЮРИД.ФИРМА ""Т-МАРКА""";
32555222;"ТОВ ""КРАСКIН КОМПАНI""";
32618884;"ТОВ""СЕРФЛЕКС УКРАЇHА""";
32696674;"ТОВ""Фiрма""Вiтязь""";
32714038;"ТОВ ""КРЕДО Д""";
00152307;"АТ ""УКРТАТНАФТА""";
00191247;`Запорiзький сталепрокатний завод` ВАТ;
00205015;БДЗ Скловолокна;
00238138;"ВАТ ""Ковельсільмаш""";
00242861;СП ДОНБАСС-ЛИБЕРТИ;
00284569;ДНДIСТ;
00376930;КРЕМЕНЧУЦЬКИЙ ХЛІБОКОМБІНАТ ВАТ;
00384093;"ВАТ""КОМСОМОЛЬСЬКИЙ ХЛIБОЗАВОД""";
00413417;ВАТ Южний;
01070576;Ів.Франк.дорожні мех.майстерні;
01284821;"ЗАТ""КИ.В ЕКСПЕР МЕХАН З-Д ""ЗВАРКА""";
01412851;ОАО ДЗМК ИМ. БАБУШКИНА И.В.;
02648828;"ЗАО""Крымтур""";
02786281;Кр.Луцький Ощадбанк готівк.ком.платежі;
04012388;"ВАТ""ФІРМА""КЕРАМБЛОКИ""";
05388233;ВАТ Лубнижитлобуд;
05398131;IН-ТаСОРБЦIЄаТАаПРОБЛЕМаЕНДОЕКОЛ.НАНУа;
05523197;НЕМИРІВСЬКЕ ЗАТ ВЕСЕЛКА;
05786092;КП КИЄВТРАКТОРОДЕТАЛЬ;
