OKPOCode;name
24144695;УДК У КІРОВОГРАДСЬКІЙ ОБЛАСТІ;
25764112;"ЗАПОРІЗЬКА ФІЛІЯ АКБ ""МТ-БАНК""";
26028378;"ФІЛІЯ ВАТ ""МТБ"" У М.МИКОЛАЇВІ";
22808168;УДК У ЧЕРКАСЬКІЙ ОБЛАСТІ;
21193977;"ХАРКІВСЬКА ФІЛІЯ ВАТ АБ ""УКРГАЗБАНК""";
09325502;"Ф-Я ""ВІД.ПІБ В М.СТРИЙ ЛЬВІВ.ОБЛ.""";
20059260;"ФІЛІЯ ""ЛІВОБЕРЕЖНЕ ВІД.ПІБ В М.КИЇВ""";
23786842;УДК У  ЗАПОРІЗЬКІЙ ОБЛАСТІ;
23613047;УДК У МИКОЛАЇВСЬКІЙ ОБЛАСТІ;
22872002;"КИЇВСЬКА ФІЛІЯ АКБ ""НОВИЙ""";
20077200;"АКЦІОНЕРНИЙ КБ ""ХФБ БАНК УКРАЇНА""";
25202590;"КИЇВСЬКА ФІЛІЯ АТ ""НАШ БАНК""";
00174065;ДГНИ ДОНГИПРОУГЛЕМАШ;
01555197;"АТВТ ""Спортек""";
09804119;МЕГАБАНК;
02789285;Артемiвське вiддiлення N 21 ОБ;
16391190;ПОЛHОЕ ОБЩЕСТВО ОКТАГОH;
13504073;ЗАО ДОНБАССИННОВАЦИЯ;
14323764;Мiжнар.комер.телерадiокомпанiя;
31302693;ДП З ІІ ІНТЕЛС ІНТЕРНЕШНЛ НЕТВОРК УКР;
04675545;НПО РЕСПИРАТОР ПО ГОРНОСП Д;
02786275;Бытовая выручка;
13606520; НОТЕК ЛТД КО  Т О В;
00308347;"ВАТ ""ВЗУТЕКС""";
00334764;УКРНИИ СОЛ.ПРОМ.;
25295798;"ТОВ НВП ""Укрпромцинк""";
30797877;"ВПП ""Модерн""";
31971848;"ООО""АЗОВТЕХНОХОЛОД""";
30677047;"ТОВ ""СКАЙ ЛАЙН""";
13776742;СУГП `АМТЕК ЛТД`;
00493675;ДДАУ;
02070766;НАЦIОНАЛЬНА МЕТАЛУРГ.АКАДЕМIЯ УКРАЄНИ;
31668426;"ПП ""Чугуiвський завод мiнеральн.вод""";
00302385;АТЗТ УКРНДІПВ;
02760548;Iншi готiвковi платежi;
23969198;ЛФ ЗАТ УКБ (Роз-ки за прийн.платежами);
03362459;Києвський палац спорту ЗАТ;
20953647;"АБ ""ПІВДЕННИЙ""";
19019775;"ВАТ ""УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК""";
31965022;"ЗАТ ""Волинський шовковий комбінат""";
01411515;"ЗАТ ""НДІМЕХМОНТАЖ""";
21601519;Оболонське вiддiлення N 8142 ОБ;
21488218;"ЗАТ ""УкрСат""";
30384242;БОГДАHОВИЧ ТА ПАРТHЕР;
31677273;"ТОВ""Дана ЛТД""";
02070758;УКР.ДЕРЖ.ХIМ-ТЕХН.УНIВ-Т;
00110728;"ЗАТ ""ЗАПОРІЖКРАН""";
25533192;УКРПИЩЕПРОМ ЧП;
01057491;ДП ВІННИЦЯТРАНСПРИЛАД;
00190414;УКРHДIСПЕЦСТАЛЬ;
14312789;КВО ЕЛЕКТРОНМАШ;
23494105;"ТВБВ N7 ""ДКТ""";
01973452;ЗАТ ХАP ПPЕДПP БИОЛЕК;
14307392;"ВАТ ""ЧЕЗАРА""";
13433137;"Акционерное об-во ""Реагент""";
16463179;"УКР.РОС.ТОВ НВ ФІРМА ""ЛОКО""";
21121222;ПНИП СИМП;
24432974;КДГМК Криворiжсталь;
00191773;ЧАСОВЯРСКИЙ ОГНЕУПОРНЫЙ КОМ;
01337475;"ТзОВ НВО ""ОБЛСІЛЬКОМУНГОСП""";
00382349;ОАО Симф.макаронная фабрика;
00333598;"АТЗТ ""Львiвський жиркомбiнат""";
30704028;"ТОВ. ""ВИНФОРТ""";
00222278;"ВАТ""Льв-й з-д фрезерних верстатiв""";
02736366;ЗЦНТЕI;
22114201;м.Iршава Промiнвестбанк;
22161063;"ТОВ З ОБМЕЖ ВІДП ""ТЕХНОТОРГ";
19069017;"ПНТМП ""Белгід""";
00206109;"ЗАТ ""СЄВЄРОДОНЕЦЬКИЙ ОРГХІМ""";
05761614;Концерн Стирол ОАО;
16326867;"СП "" АГРОТЕХ ''";
31102083;КОРПОРАЦIЯ ПАККО, ТЗОВ;
05786100;ГИДРОСИЛА, ОАО;
31658444;ТзОВ Телерадіокомпанія МАН;
30861533;"ДП ""Магарач""";
09351178;ВКЛАДИ ГРОМАДЯН;
00333919;"АТ ""ЕФЕКТ""";
05417377;IН-ТаНАДТВЕРДИХаМАТЕРIАЛIВаНАНаУКРАЄНИ;
01432032;УКРДЄРI;
21420657;УКРЕКСІМБАHК м.Чеpнівці;
02070950;КДТУ(220);
25411796;"ДП ""Вестмонт Пропертiз Украєна ЛТД""";
23926740;ЛБ Расчеты за пpинятые платежи;
23509930;"ЗАТ  ""Євротек""";
20263782;КЛИНИКА  ДОКТОРА КУЛИКОВИЧА ЧФ;
25249723;Транзит для iнших клiгнтiв;
21596480;"КФ АБ""Полтава-Банк""Iскрiвська разовi п";
19115651;"ЗАТ ""Квазар-Мiкро""";
26112340;Департамент експлуатацiє водопр. госп.;
24661864;ХМБ Фонд .АВЕК.;
03291669;IН-ТаХIМIЄаПОВЕРХНIаНАНаУКРАЄНИааааааа;
21408171;"Черниговский филиал АБ ""Синтез""";
13476862;ООО НВП МАК;
00374479;"ВАТ ""Золотоніська ПКФ""";
30781757;ПП АНАНДА;
00226744;ДП КРИСТАЛ;
23847532;`Фiрма `Згода` ТОВ;
31489809;"ЗАТ ""Єко-Азот""";
14316126;"ТОВ ""Реом""";
13868467;"ТОВ МП""IНВЕСТ""";
20732066;"Эл.маш.стро.з-д""Ф-ма Сэлма""";
02568182;УКР ЦСМ;
32004870;"ООО ""ПРЕЗИДЕНТ""";
02070967;Таврiйський нац.ун-т iм.Вернадського;
09331017;КТ ЗАБОРГ ЗА ПРИЙН ПЛАТ;
24763955;"ТОВ ""ІНФОРМАС""";
00190503;ВАТ УкрНДІВ ім А С Бережного;
13866439;AMICO,НП ООО;
05780362;ХЕРСОНСКИЕ КОМБАЙНЫ ОАО;
02070938;Нац.університет харч.технологій;
00412145;ДОНЕЦКИЙ ВИНОДЕЛЬЧЕСКИЙ ЗАВОД АР;
23160261;"ТОВ ""ЛАБ-Я ПРИКЛ.ХІМІІ""";
02003675;ПСИХИАТР.БОЛЬНИЦА 15;
24871419;ЧП ТЕЛЕРАДИОКОМПАHИЯ 555;
02760363;Пр.ін.пл.ф/о на кор.ю/о без дог.ум с05;
05763814;"ВАТ ""Крюківський вагонобудівний завод""";
23938692;"ЗАТ""АВТОЕЛЕКТРОРЕМОН.З-Д""";
13305646;ТОВ НВП Асток;
30310872;"ТОВ ""КОМІК-ТРУПА ""МАСКИ""";
24605541;"НВП ""ПОЛIМЕТ""";
23862773;"ФIРМА ""АВТОДЕТАЛЬ""";
02789397;Орджонiкiдзевське вiддiлення N 8013 ОБ;
22868383;"НТ ТОВ ""ОЛІМПІК""";
05398533;"НГВУ""ОХТИРКАНАФТОГАЗ""УКРНАФТА,";
21850275;КП РМТ АСКЭТ;
05390336;ЧДТУ;
02944707;ТОРГО-ПРОМЫШЛЕННАЯ ПАЛАТА КРЫМА;
25274773;ЕКСПЕР.ПРОМ.ТЕХ-Я ВИБУХ.Р.;
14312430;РАДИЙ, ЗАО;
00206539;ПРИПОРТОВИЙ ЗАВОД;
30300026;ВИБIР СПОЖИВЧ.ТОВ;
25815364;ОФ ЕКСПРЕС-БАНК;
04957350;СП ТзОВ `Студія Лева`;
05417035;IНСТИТУТ ГАЗУ НАН УКРАЄНИ;
30838462;"ООО ""Шельф""";
24612334;МЕТАЛЛОМОНТАЖ ЧП;
22912492;"ТОВ ""РЕМЕКС""";
02971009;ВАТ завод 'Веста';
02494911;УКРНДIВОДОКАНАЛПРОЕКТ;
31289082;"ТОВ ""ЛУКА""";
31764994;"ПП""Андако""";
09322142;ДНIПРОВСЬК.ПIБ КТ ЗАБОРГ ЗА ПРИЙН.ПЛАТ;
00493698;Таврiйська держ. агротехн. академiя;
20178026;"Платежи граж. ТОБО ""Дом одежды""";
14007661;"МДУНВП ""ФАХ""";
