MFO;SNAME;NAME;IKOD;ADRESS;TELEFON
697015;В.№1 в Суми ФПУМБ в м.Харко;ВІД.№1 В М.СУМИ ФІЛІЄ ПУМБ В М.ХАРКОВІ;;м.Суми вул. Петропавлівська, 91;670140,670141
697026;"Сумське В№1ВАТ ""Ерсте Банк""";"СУМСЬКЕ ВІД.№1 ВАТ ""ЕРСТЕ БАНК"" М.СУМИ";;м.Суми вулиця Червоногвардійська, 56;67-01-55
697037;"Пролет.в.АКБ""ПРАВЕКС""М.Суми";"ПРОЛЕТАРСЬКЕВ.АКБ""ПРАВЕКС-БАНК""М.СУМИ";;м.Суми вул.Пролетарська, 50;67-00-96
697048;"В.""Сумське""ЗАТ""АЛЬФА-БАНК""";"В.""СУМСЬКЕ""ЗАТ""АЛЬФА-БАНК""М.СУМИ";;м.Суми пр.Шевченка, 18;21-33-30
697060;"Сумьске від. ВАТ ""Мегабанк""";"СУМСЬКЕ ЦРВ ВАТ ""МЕГАБАНК"", м.СУМИ";;м.Суми вул.Кірова, 19;-
697071;"В№22Ф""СРУ""ВАТ""Б""Фін та Кр""";"В№22Ф""СЛОБ РУ""ВАТ""Б""ФІ ТА КР""М.ОХТИРКА";;м.Охтирка вул. Шевченка, 3;61-600
697082;"В№24Ф""СРУ""ВАТ""Б""Фін та Кр""";"В№24Ф""СЛОБ РУ""ВАТ""Б""ФІН ТА КР""М.ШОСТКА";;м.Шостка вул. Онупрієнка, буд.1;4-13-05
697093;"тех.Сумська обл.філія  АКБ""";"СУМСЬКА ОБЛ.Ф-Я АКБ ""УКРСОЦБАНК""М.СУМИ";;м.Суми вул. Гагаріна, 11;222-23-72
697101;"СУМ.ВІД.№1АБ""УКРКОМУНБАНК""";"СУМСЬКЕ ВІД. №1 АБ ""УКРКОМУНБАНК""";;м.Суми вул. Червоногвардійська, буд. 25;60-83-30
697112;"В№7Ф""СлобРУ"" ВАТ""Б""Ф та К""";"В№7Ф""СЛОБОЖРУ""ВАТ""Б""ФІН ТА КР""КОНОТОП";;м.Конотоп пр. Мира, 3;7-68-18
697123;"Центральне В ВАТ""ЕрстеБанк""";"ЦЕНТРАЛЬНЕ В ВАТ ""ЕРСТЕ БАНК"" В М.СУМИ";;м.Суми вулиця Петропавлівська, 56;67-12-81
697134;"СУМСЬКЕВІД.ТОВ""КБ""ДЕЛЬТА""";"СУМСЬКЕВ.ТОВ.""КОМБ""ДЕЛЬТА""М.СУМИ";;м.Суми пров.9-го Травня,4;67-01-74
697145;"СумськевАКБ""ТАС-Комерцбанк""";"СУМСЬКЕВАКБ""ТАС-КОМЕРЦБАНК""СУМИ";;м.Суми вул.Кооперативна, 1;21 32 30
697156;"Конотоп. в.АКБ""ТАС-Комерцб""";"КОНОТОПСЬКЕВ.АКБ""ТАС-Комерцб""КОНОТОП";;м.Конотоп вул.Шевченка, 73;7-31-78
698003;"Чортківс.вАКБ""ПРАВЕКС-БАНК""";"ЧОРТКІВСЬКЕВ.АКБ""ПРАВЕКС-БАНК""";;м.Чортків вул.Ст.Бандери, 15/21,22.;2-02-81
698014;"В№18Ф""ЗахРУ""ВАТ""Б""Фін таКр""";"В№18Ф""ЗАХРУ""ВАТ""Б""ФІН ТА КРЕД""М.ТЕРНОП";;м.Тернопіль вул. Руська, 11;23-49-33
698025;"Терноп.в.№3""ТАС-Комерцбанк""";"ТЕРНОП.В.№3""ТАС-КОМЕРЦБАНК""М.ТЕРНОПІЛЬ";;м.Тернопіль вул.Руська, 44;43-35-84
698036;"В""Терноп.РУ"" ВАТ""РОДОВІД Б""";"В""ТЕРН.РУ""ВАТ""РОДОВІД БАНК""М.ТЕРНОПІЛЬ";;м.Тернопіль вулиця Богдана Хмельницького, 23;55-05-66
698047;"Тернп.цен.в.ЛФ""Кредитпромба";"ТЕРНП.Ц.В.ЛФ""КРЕДИТПРОМБАНК""М.ТЕРНОПІЛ";;м.Тернопіль вул.Танцорова, 14;43-40-59
698058;"Тернопільське від. АБ ""КР""";"ТЕРНОПВАБ ""КИЄВЬСЬКА РУСЬ"" М.ТЕРНОПІЛЬ";;м.Тернопіль вул. Патріарха Мстислава, 1;43-00-34
698069;"В.№29 АБ ""Таврика""";"В.№29 АБ""ТАВРИКА""М.ТЕРНОПІЛЬ";;м.Тернопіль вул.М. Карпенка, 4 а;51-29-85
698070;Бандерівськев.АКБПРАВТерноп;"БАНДЕРІВСЬКЕВ.АКБ""ПРАВЕКС""ТЕРНОПІЛЬ";;м.Тернопіль просп.Ст.Бандери,4;52-58-51
698081;"тех.Тернопіль.обл.ф.АКБ""УСБ";"ТЕРНОПІЛЬСЬКА ОБЛ.ФАКБ""УСБ""М.ТЕРНОПІЛЬ";;м.Тернопіль вул.С.Качали, 5;252-61-21
698092;"Від.№23 ВАТ ""Електрон Банк""";"Відділення №23 ВАТ ""Електрон Банк""";;м.Тернопіль вул.Хмельницького, 12/4;25-45-42
698100;"В""ЦПОІК№3 в м.Тернопіль""ПрБ";"В""ЦПОІК№3 В М.ТЕРНОПІЛЬ"" ПРИВАТБАНКУ";;м.Тернопіль 46020, Тернопільська обл., м. Тернопіль, вул. Вишн;520-492
698111;"тех.Від.""Сонячне""ТОФАКБ""УСБ";"ВІД.""СОНЯЧНЕ"" ТЕРНОП.ОФАКБ""УСБ""";;м.Тернопіль пр-т Злуки, 37;226-84-40
698122;Терн.в.№1КФ№2Банк Універсал;"Терноп.від.№1 КФ№2""Банк Універсальний""";;м.Тернопіль вул.Білецька, 1а;23-51-00
698133;"Тер.в№1 ЛФАБ""БРОКБІЗНЕСБАНК";"ТЕРН.В.№1ЛФ АБ""БРОКБІЗНЕСБАНК""М.ТЕРНОП";;м.Тернопіль вул.Довженка,6;24-02-43
698144;"Шептиц.від.ТОФ""Укрсоцбанк""";"ШЕПТИЦЬК.В.ТЕР.ОФ""УКРСОЦБАНК""ТЕРНОПІЛЬ";;м.Тернопіль вул.Шептицького, 4;43-35-13
698155;"ТЕРНОПВІД.ТОВ""КБ""ДЕЛЬТА""";"ТЕРНОП.В.ТОВ""КОМБ""ДЕЛЬТА""М.ТЕРНОП.";;м.Тернопіль вул. Митрополіта Шептицького, 2;52-60-68
698166;"Теребовл.в.№1 КФ№2""Банк Уні";"Теребовл.від.№1 КФ№2""Банк Універсальни";;м.Теребовля вул.С.Наливайка, 1;2-34-44
698177;"Терн.в.№4 КФ№2""Банк Універс";"Терноп.від.№4 КФ №2""Банк Універсальний";;м.Тернопіль проспект С.Бандери, 80;52-96-66
698188;"Тернопіл.в.""ТАС-Комерцбанк""";"ТЕРНОП.В.""ТАС-КОМЕРЦБАНК"",М.ТЕРНОПІЛЬ";;м.Тернопіль вул.Шептицького, 1;43-47-90
698199;"ТЕРН.ВІД.№1АБ""УКРКОМУНБАНК""";"ТЕРНОПІЛЬСЬКЕ ВІД.№1 АБ""УКРКОМУНБАНК""";;м.Тернопіль вул. Замкова, буд. 9, прим. 3;80504372663
698207;"В№23Ф""ЗРУ""ВАТ""Б""Фін та Кр""";"В№23Ф""ЗАХ РУ""ВАТ""Б""ФІН ТА КР""М.ТЕРНОП";;м.Тернопіль вул. Танцорова,16;52-91-06
698218;"Терноп.в.№1""ТАС-Комерцбанк""";"ТЕРНП.В.№1""ТАС-КОМЕРЦБАНК""С.ПІДГОРОДНЄ";;с.Підгороднє вул.Стрийська, 5;354-32-62
698229;"Бучацьке в.""ТАС-Комерцбанк""";"БУЧАЦЬКЕ В.""ТАС-КОМЕРЦБАНК"",М.БУЧАЧ";;м.Бучач вул.Галицька, 160;2-71-12
698230;"Теребовл.в.""ТАС-Комерцбанк""";"ТЕРЕБОВ.В.""ТАС-КОМЕРЦБАНК""М.ТЕРЕБОВЛЯ";;м.Теребовля вул.Князя Василька, 79-а;24-594
698241;"Чортків.в.""ТАС-Комерцбанк""";"ЧОРТКІВ.В.""ТАС-КОМЕРЦБАНК""М.ЧОРТКІВ";;м.Чортків вул.С.Бандери, 30;2-12-40
698252;"Борщів.від.""ТАС-Комерцбанк""";"БОРЩІВ.В.""ТАС-КОМЕРЦБАНК""М.БОРЩІВ";;м.Борщів вул.С.Бандери, 38-А;2-39-61
698263;"ТернопільськеВ№2ВАТ""ЕрстеБ""";"ТЕРНОП.В№2 ВАТ""ЕРСТЕ БАНК"" М.ТЕРНОПІЛЬ";;м.Тернопіль вулиця Руська, 17;47-53-60
698274;"В№26Ф""ЗРУ""ВАТ""Б""Фін та Кр""";"В№26Ф""ЗАХ РУ""ВАТ""Б""ФІН ТА КР""М.ТЕРНОП";;м.Тернопіль вул. Л.Украєнки, 10;43-38-52
698285;"Від.Банк""Демарк"",Тернопіль";"ВІД.БАНКУ ""ДЕМАРК"",ТЕРНОПІЛЬ";;м.Тернопіль проспект Степана Бандери, буд. 96;514213
802015;ГУ ДКСУ У ВІННИЦЬКІЙ ОБЛАСТ;ГУ ДКСУ У ВІННИЦЬКІЙ ОБЛАСТІ;37979858;м.ВІННИЦЯ вул. Пирогова, буд. 29;
803014;ГУ ДКСУ У ВОЛИНСЬКІЙ ОБЛАСТ;ГУ ДКСУ У ВОЛИНСЬКІЙ ОБЛАСТІ;38009371;м.ЛУЦЬК вул.Стрілецька, буд.4А;
804013;ГУ ДКСУ У ЛУГАНСЬКІЙ ОБЛАСТ;ГУ ДКСУ У ЛУГАНСЬКІЙ ОБЛАСТІ;37991110;м.ЛУГАНСЬК вул. Луначарського, буд.93;
805012;ГУ ДКСУ У ДНІПРОПЕТРОВСЬКІЙ;ГУ ДКСУ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ;37988155;м.ДНІПРОПЕТРОВСЬК вул. Челюскіна, буд.1;
805023;ВДК У М.ВІЛЬНОГІРСЬКУ ДНІПР;ВДК У М.ВІЛЬНОГ.ДН.ОБЛ, М.ВІЛЬНОГІРСЬК;;м.Вільногірськ вул. Леніна, 47-г;41469
